id,name,year,status,type,country,genres,rating,watched_date,note
104,The Platform,2019,waiting,movie,US,"sci-fi,mystery,horror,thriller",,,
105,Ocean with David Attenborough,2025,waiting,movie,US,documentary,,,
106,The Intern,2015,waiting,movie,US,"comedy,drama",,,
107,Fresh,2022,waiting,movie,US,"romance,horror,thriller,dark comedy",,,
108,Normal People,2020,waiting,series,US,romance,,,
109,Where the Crawdads Sing,2022,waiting,movie,US,"romance,coming of age,mystery,thriller",,,
110,The Shape of Water,2017,waiting,movie,US,"romance,sci-fi,fantasy",,,
111,Companion,2025,waiting,movie,US,"sci-fi,thriller,dark comedy",,,
112,Ex Machina,2014,waiting,movie,US,"sci-fi,thriller",,,
113,Chernobyl,2019,waiting,series,US,"thriller,epic,history",,,
114,18×2 Beyond Youthful Days,2024,waiting,movie,China,romance,,,
115,The Lobster,2015,waiting,movie,US,"romance,sci-fi,thriller,dark comedy",,,
116,Poor Things,2023,waiting,movie,US,"romance,sci-fi,dark comedy",,,
117,Good Will Hunting,1997,waiting,movie,US,"friendship,romance",,,
118,The Theory of Everything,2014,waiting,movie,US,"romance,biography",,,
119,Re:Born,2016,waiting,movie,Japan,"action,crime",,,
120,A Series of Unfortunate Events,2004,waiting,movie,US,"family,adventure,fantasy,dark comedy",,,
121,Moon,2009,waiting,movie,US,"sci-fi,mystery",,,
122,Never Let Me Go,2019,waiting,movie,US,romance,,,
123,All the Bright Places,2020,waiting,movie,US,romance,,,
124,A Beautiful Mind,2001,waiting,movie,US,"mystery,biography",,,
125,The Big Short,2015,waiting,movie,US,"biography,dark comedy,history,finance",,,
126,Memento,2000,waiting,movie,US,"mystery,thriller",,,
127,The Amateur,2025,waiting,movie,US,"action,thriller",,,
128,Gone Girl,2014,waiting,movie,US,"mystery,thriller",,,
129,Knives Out,2019,waiting,movie,US,"comedy,mystery,crime,thriller",,,
130,Catch Me if You Can,2002,waiting,movie,US,"crime,biography",,,
131,Us and Them,2018,waiting,movie,China,romance,,,
132,Hugo,2011,waiting,movie,US,"family,adventure,fantasy,mystery",,,
133,Breaking Bad,2008,waiting,series,US,"crime,thriller,epic,dark comedy",,,
134,Dark,2017,waiting,series,US,"time travel,sci-fi,mystery,crime,thriller,epic",,,
135,Arrival,2016,waiting,movie,US,"sci-fi,mystery,epic",,,
136,Heretic,2024,waiting,movie,US,"horror,thriller",,,
137,Gifted,2017,waiting,movie,US,"comedy,drama",,,
138,Coco,2017,waiting,movie,US,"animation,family,adventure,music,dark comedy",,,
139,Severance,2022,waiting,series,US,"sci-fi,mystery",,,
140,Lucy,2014,waiting,movie,US,"action,sci-fi",,,
141,Succession,2018,waiting,series,US,"epic,dark comedy,finance",,,
142,Tag,2015,waiting,movie,Japan,"action,supernatural,sci-fi,fantasy,mystery,horror",,,
143,The White Lotus,2021,waiting,series,US,dark comedy,,,
144,Se7en,1995,waiting,movie,US,"mystery,crime",,,
145,The Truman Show,1998,waiting,movie,US,dark comedy,,,
146,Industry,2020,waiting,series,US,"finance,drama",,,
147,Margin Call,2011,waiting,movie,US,"thriller,finance",,,
148,Boyhood,2014,waiting,movie,US,"coming of age,epic",,,
149,"Oh, Hi!",2025,waiting,movie,US,dark comedy,,,
150,Spirited Away,2001,waiting,movie,Japan,"animation,adventure,fantasy",,,
151,Coraline,2009,waiting,movie,US,"animation,family,fantasy",,,
152,Made in Abyss,2017,waiting,series,Japan,"animation,action,horror",,,
153,Dark Gathering,2023,waiting,series,Japan,"animation,fantasy,dark comedy",,,
154,Vinland Saga,2019,waiting,series,Japan,"animation,action,adventure",,,
155,The Legend of Hei,2019,waiting,movie,China,"animation,action,adventure,fantasy",,,
156,Alice in Borderland,2020,waiting,series,Japan,"action,sci-fi,mystery,horror",,,
157,Fullmetal Alchemist: Brotherhood,2009,waiting,series,Japan,"animation,action,adventure,fantasy",,,
158,Nichijou,2011,waiting,series,Japan,"comedy,animation",,,
159,Hereditary,2018,waiting,movie,US,"mystery,horror,thriller",,,
160,Pyramid Game,2024,waiting,series,Korea,"action,thriller",,,
161,Revenge of Others,2022,waiting,series,Korea,"school,action,mystery,thriller,revenge",,,
162,When Life Gives You Tangerines,2025,waiting,series,Korea,"romance,life",,,
163,Doom at Your Service,2021,dropped,series,Korea,"comedy,romance,fantasy",5.0,2025-10-18,
164,Way Back Love,2025,completed,series,Korea,"romance,melodrama,fantasy",9.0,2025-09-24,
165,Takopi's Original Sin,2025,waiting,series,Japan,"animation,sci-fi",,,
166,Sing 2,2021,completed,movie,US,"animation,music",7.0,2026-01-20,
167,The Trauma Code: Heroes on Call,2025,waiting,series,Korea,"comedy,action,medical",,,
168,Materialists,2025,waiting,movie,US,"comedy,romance",,,
169,Steins;Gate,2011,waiting,series,Japan,"time travel,animation,sci-fi",,,
170,Ghost in the Shell,1995,waiting,movie,Japan,"animation,action,sci-fi,mystery",,,
171,Pride & Prejudice,2005,waiting,movie,US,romance,,,
172,Flower of Evil,2020,waiting,series,Korea,"romance,crime,thriller",,,
173,Silenced,2011,waiting,movie,Korea,"mystery,psychological",,,
174,My Mister,2018,waiting,series,Korea,"life,psychological",,,
175,Mouse,2021,waiting,series,Korea,"mystery,thriller,psychological",,,
176,The Guest,2018,waiting,series,Korea,"supernatural,mystery,horror,thriller",,,
177,The King of Pigs,2022,waiting,series,Korea,"mystery,thriller",,,
178,Strong Woman Do Bong Soon,2017,completed,series,Korea,"comedy,romance,supernatural",8.0,2025-11-04,
179,Strangers from Hell,2019,waiting,series,Korea,"horror,thriller,psychological",,,
180,All of Us Are Dead,2022,waiting,series,Korea,"school,action,thriller,zombie",,,
181,Save Me,2017,waiting,series,Korea,"action,mystery,thriller",,,
182,Reply 1988,2015,waiting,series,Korea,"comedy,romance,life",,,
183,Move to Heaven,2021,waiting,series,Korea,"death,life",,,
184,A Werewolf Boy,2012,waiting,movie,Korea,"romance,supernatural",,,
185,Hope,2013,waiting,movie,Korea,"family,life,psychological",,,
186,Happiness,2021,waiting,series,Korea,"action,sci-fi,thriller",,,
187,2521,2022,waiting,series,Korea,"friendship,romance,coming of age,life",,,
188,Love Untangled,2025,waiting,movie,Korea,"comedy,romance,school",,,
189,Suzume,2022,waiting,movie,Japan,"animation,adventure,fantasy",,,
190,Through the Darkness,2022,waiting,series,Korea,"mystery,thriller",,,
191,Mr. Plankton,2024,waiting,series,Korea,"comedy,romance,death",,,
192,Beyond Evil,2021,waiting,series,Korea,"mystery,thriller,psychological",,,
193,Revenant,2023,waiting,series,Korea,"supernatural,mystery,horror,thriller",,,
194,My Liberation Notes,2022,waiting,series,Korea,"romance,life",,,
195,Goblin,2016,waiting,series,Korea,"comedy,romance,fantasy",,,
196,Melo Movie,2025,waiting,series,Korea,"romance,healing",,,
197,Our Movie,2025,waiting,series,Korea,"romance,melodrama,life",,,
198,Mr. Sunshine,2018,waiting,series,Korea,"romance,melodrama",,,
199,No Hard Feelings,2023,waiting,movie,US,"comedy,romance",,,
200,A Minecraft Movie,2025,dropped,movie,US,"comedy,adventure",3.0,2025-09-28,
201,Snowdrop,2021,waiting,series,Korea,"romance,melodrama,political",,,
202,Racket Boys,2021,waiting,series,Korea,"comedy,friendship,life,sport",,,
203,Vincenzo,2021,waiting,series,Korea,"comedy,crime,law",,,
204,Bloodhounds,2023,waiting,series,Korea,"action,crime",,,
205,D.P.,2021,waiting,series,Korea,action,,,
206,Taxi Driver,2021,waiting,series,Korea,"action,crime,thriller,revenge",,,
207,Upstream,2024,waiting,movie,China,life,,,
208,Shutter Island,2010,waiting,movie,US,"mystery,thriller",,,
209,Memories of Murder,2003,waiting,movie,Korea,"mystery,thriller",,,
210,"Hi Bye, Mama!",2020,waiting,series,Korea,"melodrama,family,supernatural",,,
211,Atonement,2007,waiting,movie,US,"romance,epic",,,
